Binary8,Binary29,Binary30,Binary51,Binary57,Binary65,Binary66,Binary99,Binary108,Binary145,Binary150,Binary155,Binary171,Binary173,Binary192,Binary208,Binary234,Binary239,Binary276,Binary278,Binary297,Binary303,Binary323,Binary331,Binary383,Binary387,Binary407,Binary408,Binary420,Binary423,Amino_acid_D,Amino_acid_K,Amino_acid_L,K_space_AK,K_space_KE,K_space_PT,K_space_YD,K_space_AxD,K_space_AxR,K_space_ExG,K_space_ExP,K_space_FxD,K_space_GxN,K_space_IxE,K_space_WxS,K_space_AxxD,K_space_CxxL,K_space_IxxL,K_space_LxxD,K_space_SxxD,K_space_VxxE,K_space_AxxxA,K_space_AxxxS,K_space_KxxxE,K_space_VxxxN,K_space_VxxxS,K_space_AxxxxK,K_space_ExxxxK,K_space_IxxxxK,K_space_KxxxxT,K_space_LxxxxY,K_space_QxxxxL,K_space_YxxxxL,K_space_XxxxxX,Class
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03883495145631068,0.03883495145631068,0.0,0.0,4.299965600275198e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001719986240110079,0.0,0.0,0.0,0.00326797385620915,0.0,0.0,0.1176470588235294,0.05882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.019417475728155338,0.019417475728155338,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001719986240110079,0.0,0.0,0.0,0.0,0.0,0.00326797385620915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03883495145631068,0.029126213592233014,4.299965600275198e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003439972480220158,0.0,0.0,0.0,0.0,0.0,0.0,0.00326797385620915,0.0,0.00326797385620915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.019417475728155338,0.029126213592233014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003439972480220158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.009708737864077669,0.029126213592233014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00326797385620915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.009708737864077669,0.029126213592233014,0.009708737864077669,0.0,4.299965600275198e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001719986240110079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00326797385620915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.009708737864077669,0.04854368932038835,0.0,0.0,0.0,0.0,0.0,8.599931200550395e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001719986240110079,0.0,0.0,0.0,0.0,0.0,0.00326797385620915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019417475728155338,0.009708737864077669,0.019417475728155338,4.299965600275198e-07,0.0,0.0,0.0,0.0,8.599931200550395e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0001719986240110079,0.0001719986240110079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.019417475728155338,0.019417475728155338,4.299965600275198e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.599931200550395e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00326797385620915,0.0,0.00326797385620915,0.0,0.0,0.05882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.009708737864077669,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.599931200550395e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00326797385620915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
